5	17.95635123
10.02	18.13128646
15.04	18.03431887
20.01	17.73299098
25.03	17.19112054
30.01	16.6667577
35.01	16.06720131
40	15.45520236
45.05	14.90785107
50.07	14.42102537
55.07	13.95626722
60.07	13.5599561
65.07	13.13936575
70.07	12.88266674
75.08	12.59218305
80	12.34793197
84.98	12.11412813
89.95	11.88845019
94.89	11.68549574
99.76	11.49890362
104.84	11.22976884
109.88	11.00264419
114.77	10.91551236
119.94	10.77498156
124.79	10.63214729
130.03	10.48659001
134.81	10.39083588
139.66	10.292533
144.59	10.18361331
149.57	10.08546397
154.56	9.993416087
159.55	9.90947888
164.56	9.829137755
169.57	9.747613128
174.56	9.680692851
179.56	9.610888451
184.6	9.54033666
189.57	9.481341313
194.57	9.424193078
199.6	9.367455397
204.62	9.30841624
209.66	9.257548268
214.67	9.20548497
219.72	9.159753532
224.81	9.112081772
229.66	9.083735855
234.71	9.036831865
239.55	9.018174835
244.67	8.966062638
249.55	8.927544456
254.52	8.906006043
259.5	8.872244881
264.43	8.845729052
269.44	8.82354837
274.41	8.787810349
279.4	8.76302759
284.38	8.736396106
289.37	8.707289503
294.51	8.632915893
300.01	8.654049176
